Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Charges_Per_Month,Total_Services_Count
1,0,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9580659010627455,1,86,3239,1.3964241971165443,3
0,0,0,1,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9388744441030343,1,67,2701,2.0404032218840493,2
0,0,0,1,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6437892489880273,1,86,5372,0.607852453632696,6
0,0,1,1,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.33808539553347106,1,84,5003,-0.24729388052853946,7
1,0,0,1,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2161496993050833,1,89,5340,-0.42383888843993717,7
0,0,1,0,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.7726808386611219,1,78,5925,-0.08627366541128198,3
1,1,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.988286930987808,1,100,5433,1.6114023582036194,3
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9968899979007819,1,92,4832,0.4935159205508293,8
1,0,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0894640242250588,1,77,5789,-0.4243213949792659,6
1,0,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9924561095687108,1,97,2915,1.0696573922641903,2
0,0,0,0,-0.62591876415828,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5235227853738373,1,74,3022,-0.24951230139901656,3
1,0,0,1,-1.1145631287986442,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8659689668020626,1,66,2454,0.6702757418890911,2
1,0,0,1,0.06632741908223598,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.5600886401800608,1,65,2941,-0.3132459327325139,7
0,0,0,1,-0.8702409464784621,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004191008,-0.5180962354748845,1,70,5674,0.27328273774829254,6
0,0,0,1,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9421833159926397,1,90,5586,2.420675702384742,3
0,0,0,1,-0.7073594915983407,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929195161,-0.37647651859977455,1,82,2966,0.04851112710058406,6
0,1,1,1,-0.9924020376385531,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.7263786913525774,1,69,5302,0.36580296855687827,4
1,1,0,1,-0.5851984004382496,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2325847096938023,1,81,3179,-0.08564278851112218,5
0,0,0,1,-0.9516816739185228,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795457,-0.6275757767289609,1,96,5571,0.4207099833293401,5
0,0,0,1,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,1,2,0.48485611412954227,-0.9707719691188302,1,87,2483,3.8873044902454534,3
0,0,1,1,-1.0331224013585834,1,0,1,0,0,2,0,0,0,0,1,0,0.34526516611558833,-0.7865560414515337,1,70,3457,0.41540718868919224,3
0,0,0,1,-0.8295205827584317,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173812821356,-0.5966488541341161,1,86,5806,0.03467535314344165,4
1,0,0,0,-1.1145631287986442,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527991880641573,-0.9555511584266455,1,66,2604,-0.25938537250079335,8
0,1,1,1,-0.30015585439803716,1,0,1,0,2,2,0,2,2,0,1,2,1.1213243651931677,0.10357461514417286,1,88,5337,-0.2272672677503483,6
1,0,1,0,1.4508197855632678,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.352438365341499,1,86,5034,-0.47885003434098994,8
1,0,1,1,0.9214550572028734,1,2,1,2,2,0,0,2,0,0,1,2,1.0631614701873533,1.3055333586162896,1,75,5154,-0.4635463784982489,6
0,1,1,1,0.18848851024232702,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368512007346,0.25959895431203156,1,67,2793,-0.43081474118987845,3
0,0,1,1,-0.9109613101984924,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872601989819,-0.536074439408407,1,87,5998,0.38329075432072907,6
1,0,0,1,-1.1960038562387048,1,2,1,0,0,0,0,0,0,0,1,2,0.32033821111309646,-0.9045062947429998,1,76,4415,1.4709499596267306,3
0,1,0,1,-0.21871512695797646,1,2,1,0,0,2,0,0,0,0,1,2,0.44164939212522314,-0.06363371101055196,1,95,4638,-0.34203253220760216,4
0,0,1,0,-0.30015585439803716,0,1,0,2,2,2,0,2,2,0,1,1,-0.2047896409393986,-0.34283632105545325,1,99,4190,-0.40321862420930815,6
1,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,2,0,1,2,-0.9742016520163136,-0.990139899245987,1,80,2301,1.3706268177860956,2
1,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,0,2,-0.6784017859867437,-0.9699337215734635,1,76,2570,1.0333499695028177,1
0,1,1,1,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,3,0.18905624809997262,-0.9746984970944953,1,76,3964,3.377089654598796,2
0,0,0,0,-0.9924020376385531,1,2,0,2,0,0,2,0,2,0,0,2,0.21232140610229844,-0.7571070816340459,1,66,2662,0.24477822601896929,5
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,2,-0.6351950639824246,-0.9856398334761236,1,73,2600,1.9553674159429395,1
1,0,0,1,-1.0331224013585834,1,2,1,0,0,0,0,2,2,0,0,3,1.0049985751815391,-0.7165844305593455,1,94,2786,0.6998949551944215,5
0,0,1,1,-0.5037576729981889,1,2,1,2,0,0,0,0,0,0,0,2,0.5862257311396761,-0.30326221325577307,1,86,5719,-0.21174894188530813,4
0,0,0,1,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,0,0.20401242110146783,-0.8853368969292195,1,75,4287,0.9641747745574658,2
1,1,1,0,1.0436161483629645,0,1,0,0,2,2,0,0,2,0,1,2,-0.6468276429835875,0.16388432011871337,1,100,5444,-0.5736016632407193,4
0,0,1,1,-1.2367242199587352,1,2,1,0,0,2,2,2,2,0,1,2,1.3174164112127704,-0.8986606210713638,1,83,4690,3.3283612714190594,7
0,0,1,0,0.8400143297628127,1,0,1,0,0,2,0,2,2,1,1,0,1.0000131841810405,1.200222995943116,1,80,4328,-0.460243980291779,5
0,1,0,1,-0.7073594915983407,1,2,1,0,0,0,0,0,0,0,1,3,0.32200000811326246,-0.5003165638547383,1,99,5717,-0.12812926192596252,3
0,1,0,1,-1.0331224013585834,1,0,1,2,0,0,0,0,0,0,0,0,0.3884718881199074,-0.7836001158968197,1,81,4419,0.4340386293167387,3
0,0,0,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,0,-1.156999322034587,-0.9925664052983643,1,95,4534,1.0553255148583853,2
1,0,0,1,-0.9924020376385531,1,2,1,0,0,0,0,0,2,0,0,0,0.6560212051466532,-0.713429972691255,1,86,2152,0.4148498379011887,4
0,0,0,1,-0.7888002190384014,1,0,1,0,2,2,0,0,0,0,1,2,0.4815325201292102,-0.5153388422335466,1,73,5142,-0.012604092979884381,4
0,0,1,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,1,2,-1.328164413051698,-0.9948384973292265,1,94,4851,0.7600888402988024,1
1,0,1,1,-1.0738427650786138,1,0,1,0,2,2,0,0,2,0,1,2,0.8720548151682491,-0.7715117039267947,1,94,2283,0.8288818518466664,5
1,0,0,1,-1.2774445836787656,1,0,1,0,0,0,0,0,2,0,0,2,0.50313588113137,-0.9705293185135924,1,98,3394,3.918834620538225,3
0,0,0,1,-0.5444780367182193,1,0,1,2,0,2,2,2,2,0,1,2,1.3905354792200795,-0.15233353679790662,1,71,3764,-0.05052214577352845,7
1,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,1,1,-0.6235624849812617,-0.9684998770879678,1,76,2667,1.0964102300883598,1
0,0,0,1,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,2,0.179085466098976,-0.8873883975007748,1,67,2227,0.9469765216704997,2
1,0,1,0,-1.1552834925186746,1,0,0,0,0,0,2,0,0,0,0,3,-0.4889569279678058,-0.9266536772574252,1,82,3394,0.48606334429981074,2
0,0,1,0,-1.2774445836787656,1,0,0,0,0,0,0,2,0,0,0,3,-0.31779183695069496,-0.9814265366033595,1,81,3638,2.5028451328446906,2
1,0,0,1,-1.2774445836787656,1,0,1,2,0,0,0,0,2,0,1,3,0.6593447991469852,-0.9684557587961065,1,66,2484,4.1882739157673585,4
1,0,0,0,-1.2367242199587352,1,2,0,0,2,0,0,0,0,0,1,3,-0.34438058895335305,-0.955440862696992,1,81,2556,1.4174442839783918,3
0,1,0,1,-0.8702409464784621,1,0,1,0,2,0,0,2,2,0,1,2,1.0049985751815391,-0.5115226099875352,1,85,5980,0.24605217067726307,5
1,1,0,0,-0.7073594915983407,1,0,1,0,2,0,0,0,0,0,1,2,0.32033821111309646,-0.5318170242437815,1,86,4616,-0.12848755886110763,3
1,0,0,0,-1.2774445836787656,1,0,0,2,0,0,0,0,0,0,1,3,-0.5388108379727895,-0.9843604030121428,1,77,5687,2.1216171938502772,2
0,0,1,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,0,2,0.1873944510998066,-0.9408597672367975,1,75,5687,2.0289377199594054,2
1,1,1,0,-1.2774445836787656,0,1,0,0,2,0,0,2,0,0,0,2,-0.8163309370005319,-0.9880442803825703,1,65,5828,1.6429324884963907,3
0,0,1,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,1,1,-0.6700928009859131,-0.9702425496164933,1,99,4884,1.042904554440021,1
1,1,0,0,-1.1960038562387048,0,1,0,0,0,2,0,0,2,0,1,2,-0.7847567939973756,-0.9474554518700777,1,96,2314,0.5178801121406978,3
1,1,0,0,-0.7888002190384014,1,2,1,0,2,2,0,2,2,0,1,2,1.4005062612210766,-0.40387397784570706,1,84,2494,0.2138395700318347,7
1,0,0,0,1.0843365120829946,1,0,2,1,1,1,1,1,1,2,0,3,-1.5093002860698053,-0.520655096402846,1,83,5084,-0.6246571546500769,8
0,1,0,0,-0.6666391278783103,1,0,1,0,0,0,2,2,2,0,1,2,0.9867188081797118,-0.33906420710130314,1,81,3810,-0.024623600249626735,5
1,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,0,0,-1.328164413051698,-0.9948384973292265,1,73,5087,0.7600888402988024,1
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,3,0.19404163910047073,-0.9746323196567032,1,69,3338,3.3856887810422784,2
1,0,1,0,-1.1145631287986442,1,2,1,0,2,0,2,0,0,0,1,2,0.6859335511496436,-0.8288213650547598,1,80,3676,0.9702897089172758,5
0,0,1,0,0.7992939660427822,1,2,1,0,2,2,0,2,2,0,1,2,1.3390197722149297,1.4758079060553824,1,65,4839,-0.4343784970016099,7
1,0,1,0,-0.5851984004382496,1,0,1,0,0,2,0,2,2,0,0,3,1.0099839661820376,-0.2204962977237773,1,68,4643,-0.08745313092027643,5
1,0,1,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,2,0.17410007509847744,-0.9748970294078716,1,97,4094,3.3512922752683467,2
1,1,0,0,-0.9924020376385531,1,0,1,0,2,0,0,0,0,0,1,2,0.3236618051134285,-0.7381803344255032,1,80,4345,0.28745537207181093,3
1,0,0,0,-0.9109613101984924,1,0,0,0,0,0,0,0,0,0,1,1,-0.6617838159850825,-0.8136887909462978,1,83,4061,-0.19415361533861422,1
1,1,0,0,-0.3408762181180675,1,2,1,0,0,0,0,0,0,0,1,2,0.37683930911874425,-0.25016584900057215,1,98,2018,-0.31262351977089037,3
0,0,0,0,-1.2774445836787656,1,0,1,2,0,0,0,0,0,0,1,3,0.2937494591104381,-0.973308770900861,1,80,2565,3.5576713099119384,3
0,1,0,0,-1.1552834925186746,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.83102727964783,1,85,3677,1.527130919057486,5
1,1,1,0,-0.015113308357824713,1,2,1,0,0,0,0,0,0,0,1,2,0.33695618111475767,0.010418841878816238,1,69,4105,-0.40140124861286103,3
1,0,0,0,-1.1145631287986442,1,0,1,0,0,0,0,2,0,0,1,2,0.5264010391336954,-0.8224462718807867,1,69,5715,0.8785656935201236,3
0,0,1,0,0.22920887396235737,1,0,0,2,2,0,2,2,2,1,0,1,0.5164302571326987,0.343644300308008,1,81,2071,-0.42556165360092213,6
1,1,1,0,-0.3408762181180675,1,0,1,0,0,2,0,2,2,0,1,2,0.9435120861753926,-0.021478683136979433,1,73,2212,-0.2344287966448182,5
0,1,0,0,0.880734693482843,1,2,0,2,2,0,2,2,2,1,0,0,0.5878875281398422,0.9134099805521226,1,83,4149,-0.48975510132307226,7
0,1,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.1857326540996401,-0.9444333488775714,1,73,2671,2.0270268029719642,2
0,0,0,0,-1.0331224013585834,1,2,1,0,0,0,0,0,0,0,1,2,0.3020584441112687,-0.7802250665694221,1,67,2473,0.39677574806164556,3
0,0,0,0,-1.2367242199587352,1,2,1,0,0,2,0,0,0,0,0,3,0.5264010391336954,-0.937043534990786,1,92,2683,2.418764785397301,4
1,0,1,0,1.4508197855632678,1,2,0,0,2,2,2,0,2,1,1,0,0.36686852711774764,1.329820478285993,1,81,4903,-0.5356790438805298,6
0,0,0,0,0.43281069256250915,1,2,1,0,2,2,0,2,2,2,1,2,1.3240635992134344,1.0941846814542295,1,91,5250,-0.38906714805756226,7
1,0,1,0,1.247217966963116,1,2,1,0,2,2,0,2,2,0,1,2,1.284180471209448,1.907350977897715,1,98,4352,-0.4763938828870241,7
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,2,0,1,2,0.8521132511662559,-0.931572866799972,1,76,4157,2.7933045149356723,4
1,0,1,0,-1.1552834925186746,1,2,1,0,2,2,0,0,0,0,1,0,0.6659919871476498,-0.84170390627829,1,73,4939,1.282915728062569,5
0,1,0,0,-0.46303730927815856,0,1,0,2,0,0,0,2,0,0,1,2,-0.7598298389948839,-0.6351420637831919,1,97,4778,-0.4432677026104248,3
0,0,0,0,-0.9109613101984924,1,0,1,0,0,0,0,0,2,0,1,0,0.5147684601325326,-0.632539084563369,1,85,3598,0.1748270829635655,3
1,1,1,0,-0.21871512695797646,0,1,0,2,0,0,0,0,0,0,0,1,-1.1304105700319294,-0.6505834659346836,1,91,2927,-0.5357176182917669,2
1,0,0,0,-1.1145631287986442,1,0,1,0,0,2,0,2,2,0,0,0,1.0548524851865226,-0.7884751871475049,1,98,5383,1.1824014945231895,5
1,0,0,0,-1.2367242199587352,1,2,1,0,0,0,0,2,0,0,1,2,0.6942425361504742,-0.9257051339824051,1,73,3878,2.611767401128809,4
0,0,1,0,-0.30015585439803716,1,2,1,0,0,2,2,2,2,0,1,0,1.3356961782145975,0.12651612691210345,1,66,3642,-0.19882400336036601,7
1,0,0,0,-1.2774445836787656,1,0,0,0,2,0,0,0,0,0,0,3,-0.4690153639658123,-0.9834339188830533,1,76,2431,2.2420049640590394,2
1,0,0,0,-1.2774445836787656,1,2,1,0,2,0,0,0,2,0,1,1,0.8670694241677506,-0.9656983655547686,1,81,3424,4.546570850912484,5
1,1,1,0,-0.8702409464784621,1,0,2,1,1,1,1,1,1,0,0,3,-1.4893587220678117,-0.9110358019384879,1,80,5888,-0.4710194288598472,8
0,1,1,0,0.9214550572028734,1,2,1,0,2,2,0,0,0,0,1,2,0.6875953481498096,1.1448545396570529,1,100,5502,-0.4866821234533341,5
0,0,0,0,0.06632741908223598,1,0,1,0,2,0,0,0,0,0,1,1,0.30538203811160125,0.10796438518438257,1,94,5795,-0.4193837219777897,3
1,0,1,0,1.4915401492832983,1,2,1,0,0,2,0,2,2,0,1,1,1.1528985081963241,2.0858535867689594,1,80,4020,-0.49874137458478995,6
0,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.491020519067978,-0.9970002936304354,1,92,3351,0.47918404314502433,8
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.5009913010689746,-0.9971326485060197,1,95,3448,0.46198579025805847,8
1,1,0,0,-1.1960038562387048,1,2,1,0,2,0,0,0,0,0,1,2,0.5513279941361872,-0.9026753856307516,1,73,2818,1.6701630555674198,4
0,0,1,0,-0.4223169455581282,1,0,1,0,2,0,0,0,2,0,0,2,0.6161380771426661,-0.1914002842411807,1,88,3804,-0.24638282865146882,4
0,1,0,0,-1.2774445836787656,1,0,1,0,0,2,0,0,0,0,1,0,0.3502505571160864,-0.972558759939217,1,67,4902,3.6551280762714127,3
0,0,1,0,1.1657772395230555,1,0,2,1,1,1,1,1,1,0,1,3,-1.5076384890696393,-0.4840589733038106,1,82,4221,-0.6257574729799419,8
